"strain","label","file.name","recording","rat.id","mean.dur","sem","count"
"SD","flat","T0000100","MA","SD22",0.0600526845637584,0.00207564573852939,298
"SD","flat","T0000111","MA","SD17",0.078479006772009,0.00214663946979064,443
"SD","flat","T0000145","MA","SD24",0.0559228813559322,0.00310032368785231,118
"SD","flat","T0000159","MA","SD25E4",0.0575976811594203,0.00237307600060033,345
"SD","flat","T0000161","MA","SD17E3",0.0936694252873563,0.00354328292358414,435
"SD","flat","T0000201","MA","SD31E5",0.0635614754098361,0.00386241664743479,122
"SD","flat","T0000251","MA","SD76",0.0521121739130435,0.00341508725701665,115
"SD","flat","T0000260","MA","SD78",0.053446,0.00282214183096035,250
"SD","flat-mz","T0000100","MA","SD22",0.0858538461538462,0.00831116499119396,13
"SD","flat-mz","T0000111","MA","SD17",0.10875,0.00485,2
"SD","flat-mz","T0000145","MA","SD24",0.0829,0.0082,2
"SD","flat-mz","T0000159","MA","SD25E4",0.107464285714286,0.0112688796753084,14
"SD","flat-mz","T0000161","MA","SD17E3",0.130247619047619,0.00994011741582376,21
"SD","flat-mz","T0000201","MA","SD31E5",0.10565,0.02175,2
"SD","flat-mz","T0000251","MA","SD76",0.09066,0.0156783481272741,5
"SD","flat-mz","T0000260","MA","SD78",0.1085,0.00491545182731625,4
"SD","flat-z","T0000100","MA","SD22",0.0907657894736842,0.00462921527766808,38
"SD","flat-z","T0000111","MA","SD17",0.134,0.0133922738920618,5
"SD","flat-z","T0000159","MA","SD25E4",0.0711,0.00644216515897286,32
"SD","flat-z","T0000161","MA","SD17E3",0.099845,0.0158423557442167,20
"SD","flat-z","T0000201","MA","SD31E5",0.0811625,0.0198281270052346,8
"SD","flat-z","T0000251","MA","SD76",0.0929909090909091,0.0117938616896129,11
"SD","flat-z","T0000260","MA","SD78",0.0588,NA,1
"SD","short","T0000100","MA","SD22",0.006842,0.000365826879988949,50
"SD","short","T0000111","MA","SD17",0.00724782608695652,0.000347384630340264,69
"SD","short","T0000145","MA","SD24",0.00583,0.000539926559501542,30
"SD","short","T0000159","MA","SD25E4",0.00645526315789474,0.00023803813140588,114
"SD","short","T0000161","MA","SD17E3",0.00714647887323944,0.000339616489741425,71
"SD","short","T0000201","MA","SD31E5",0.00628285714285714,0.000409867486564398,35
"SD","short","T0000251","MA","SD76",0.00544824561403509,0.000219260561891895,114
"SD","short","T0000260","MA","SD78",0.0068963963963964,0.000245416385302914,111
"WK","flat","T0000102","MA","WK21",0.0394181818181818,0.00369950461094336,33
"WK","flat","T0000109","MA","WK2A3C1",0.0417238095238095,0.00483401263918251,84
"WK","flat","T0000138","MA","WK26",0.03397,0.00814065312695077,10
"WK","flat","T0000199","MA","WK29E2",0.0973964285714286,0.0148316812724943,28
"WK","flat","T0000203","MA","WK34G1",0.05048125,0.0081559663465693,32
"WK","flat","T0000233","MA","WK77",0.0347807692307692,0.00783360025144303,26
"WK","flat","T0000308","MA","WK95",0.030175,0.00566126405622328,8
"WK","flat-mz","T0000203","MA","WK34G1",0.0481,NA,1
"WK","flat-mz","T0000233","MA","WK77",0.1464,NA,1
"WK","flat-mz","T0000308","MA","WK95",0.0599,NA,1
"WK","flat-z","T0000102","MA","WK21",0.0312,NA,1
"WK","flat-z","T0000109","MA","WK2A3C1",0.043725,0.0121254123641219,4
"WK","flat-z","T0000199","MA","WK29E2",0.0985666666666667,0.0422841315126346,3
